level,uid_type,parent_code,code,name,description,examples,target_database,status,active,notes
L3,sv_,ALL,name,Name,Activity name,String,shopnet_activities,WIP,TRUE,
L3,sv_,ALL,description,Description,Activity details,Text,shopnet_activities,WIP,TRUE,
L3,sv_,ALL,owner_uid,Owner UID,Activity owner,su_xxxxxxxxxxxx,shopnet_activities,WIP,TRUE,
L3,sv_,ALL,assigned_to,Assigned To,Responsible party,su_ or sl_ UID,shopnet_activities,WIP,TRUE,
L3,sv_,ALL,parent_uid,Parent UID,Parent activity,sv_xxxxxxxxxxxx (for nested),shopnet_activities,WIP,TRUE,
L3,sv_,ALL,depends_on,Dependencies,Prerequisite activities,Array of sv_ UIDs,shopnet_activities,WIP,TRUE,
L3,sv_,ALL,start_date,Start Date,When it starts,ISO 8601 datetime,shopnet_activities,WIP,TRUE,
L3,sv_,ALL,end_date,End Date,When it ends/due,ISO 8601 datetime,shopnet_activities,WIP,TRUE,
L3,sv_,ALL,duration,Duration,How long it takes,Interval,shopnet_activities,WIP,TRUE,
L3,sv_,ALL,status,Status,Current state,"planned, active, completed, cancelled, blocked",shopnet_activities,WIP,TRUE,
L3,sv_,ALL,related_entities,Related Entities,Links to other UIDs,JSONB (sl_/sg_/sc_/etc),shopnet_activities,WIP,TRUE,
